attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02075,0.02072,0.00104,0.02075,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02074,0.02072,0.00103,0.02074,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02074,0.02072,0.00103,0.02074,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02074,0.02072,0.00103,0.02074,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.01879,0.01798,-0.00546,0.01879,0.0024,-0.24,20.59,0.3457,0.003,-0.128,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.0188,0.01798,-0.00548,0.0188,0.0024,-0.24,20.59,0.3457,0.003,-0.127,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.0188,0.01798,-0.00548,0.0188,0.0024,-0.24,20.59,0.3457,0.003,-0.128,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.01881,0.01799,-0.00549,0.0188,0.0024,-0.24,20.59,0.3457,0.003,-0.127,0.0,0.0,0,0.0,0.0
0,4,0.08,spawn,0.0163,0.01258,-0.01036,0.0163,0.003,1.55,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
1,4,0.08,spawn,0.01632,0.0126,-0.01038,0.01632,0.003,1.55,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
2,4,0.08,spawn,0.01632,0.01259,-0.01038,0.01632,0.003,1.55,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
3,4,0.08,spawn,0.01635,0.01262,-0.01039,0.01635,0.003,1.54,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
0,5,0.1,spawn,0.01491,0.00628,-0.01353,0.01491,0.0036,3.09,31.3,0.3391,0.0044,-0.087,0.0,0.0,0,0.0,0.0
1,5,0.1,spawn,0.01492,0.00628,-0.01353,0.01492,0.0036,3.09,31.3,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,0.0
2,5,0.1,spawn,0.01492,0.00627,-0.01353,0.01492,0.0036,3.09,31.3,0.3391,0.0044,-0.087,0.0,0.0,0,0.0,0.0
3,5,0.1,spawn,0.01491,0.00627,-0.01353,0.01491,0.0036,3.09,31.31,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,0.0
0,6,0.12,spawn,0.01234,0.00468,-0.01142,0.01234,0.0042,4.45,36.46,0.3357,0.0053,-0.042,0.0,0.0,0,0.0,0.0
1,6,0.12,spawn,0.01233,0.00468,-0.01141,0.01233,0.0042,4.45,36.46,0.3357,0.0053,-0.042,0.0,0.0,0,0.0,0.0
2,6,0.12,spawn,0.01234,0.00468,-0.01142,0.01234,0.0042,4.45,36.46,0.3357,0.0053,-0.042,0.0,0.0,0,0.0,0.0
3,6,0.12,spawn,0.01233,0.00469,-0.0114,0.01233,0.0042,4.45,36.46,0.3356,0.0053,-0.042,0.0,0.0,0,0.0,0.0
0,7,0.14,spawn,0.01664,0.01439,-0.00835,0.01664,0.0048,5.32,41.46,0.3325,0.0063,0.009,0.0,0.0,0,0.0,0.0
1,7,0.14,spawn,0.01663,0.0144,-0.00833,0.01663,0.0048,5.32,41.46,0.3325,0.0063,0.008,0.0,0.0,0,0.0,0.0
2,7,0.14,spawn,0.01663,0.01439,-0.00834,0.01663,0.0048,5.32,41.46,0.3325,0.0063,0.009,0.0,0.0,0,0.0,0.0
3,7,0.14,spawn,0.01662,0.01438,-0.00834,0.01662,0.0048,5.32,41.46,0.3325,0.0063,0.009,0.0,0.0,0,0.0,0.0
0,8,0.16,spawn,0.0161,0.01505,-0.00574,0.0161,0.0054,6.87,46.18,0.3295,0.0072,-0.007,0.0,0.0,0,0.0,0.0
1,8,0.16,spawn,0.01611,0.01506,-0.00573,0.01611,0.0054,6.87,46.18,0.3295,0.0073,-0.006,0.0,0.0,0,0.0,0.0
2,8,0.16,spawn,0.01611,0.01505,-0.00574,0.01611,0.0054,6.87,46.18,0.3295,0.0073,-0.006,0.0,0.0,0,0.0,0.0
3,8,0.16,spawn,0.01612,0.01506,-0.00575,0.01612,0.0054,6.87,46.18,0.3295,0.0073,-0.006,0.0,0.0,0,0.0,0.0
0,9,0.18,spawn,0.0147,0.01364,-0.00549,0.0147,0.006,8.41,50.89,0.3268,0.0081,-0.033,0.0,0.0,0,0.0,0.0
1,9,0.18,spawn,0.01472,0.01365,-0.0055,0.01472,0.006,8.41,50.9,0.3268,0.0081,-0.033,0.0,0.0,0,0.0,0.0
2,9,0.18,spawn,0.01472,0.01365,-0.0055,0.01472,0.006,8.41,50.89,0.3268,0.0081,-0.033,0.0,0.0,0,0.0,0.0
3,9,0.18,spawn,0.01475,0.01366,-0.00554,0.01475,0.006,8.4,50.89,0.3268,0.0081,-0.032,0.0,0.0,0,0.0,0.0
0,10,0.2,spawn,0.01273,0.01164,-0.00515,0.01273,0.0066,8.73,55.57,0.3245,0.009,-0.053,0.0,0.0,0,0.0,0.0
1,10,0.2,spawn,0.01272,0.01163,-0.00517,0.01272,0.0066,8.72,55.57,0.3245,0.009,-0.053,0.0,0.0,0,0.0,0.0
2,10,0.2,spawn,0.01272,0.01163,-0.00517,0.01272,0.0066,8.72,55.57,0.3245,0.009,-0.053,0.0,0.0,0,0.0,0.0
3,10,0.2,spawn,0.01272,0.0116,-0.00522,0.01272,0.0066,8.71,55.57,0.3245,0.009,-0.052,0.0,0.0,0,0.0,0.0
0,11,0.22,spawn,0.01114,0.01102,-0.00166,0.01114,0.0072,9.32,60.16,0.3225,0.01,-0.085,0.0,0.0,0,0.0,0.0
1,11,0.22,spawn,0.01112,0.01099,-0.00167,0.01112,0.0072,9.31,60.16,0.3225,0.01,-0.085,0.0,0.0,0,0.0,0.0
2,11,0.22,spawn,0.01112,0.01099,-0.00168,0.01112,0.0072,9.31,60.16,0.3225,0.01,-0.085,0.0,0.0,0,0.0,0.0
3,11,0.22,spawn,0.01107,0.01094,-0.00172,0.01107,0.0072,9.31,60.16,0.3225,0.01,-0.085,0.0,0.0,0,0.0,0.0
0,12,0.24,spawn,0.01227,0.01216,0.00161,0.01227,0.0078,10.1,64.54,0.3208,0.0111,-0.129,0.0,0.0,0,0.0,0.0
1,12,0.24,spawn,0.01224,0.01214,0.00159,0.01224,0.0078,10.1,64.54,0.3208,0.0111,-0.129,0.0,0.0,0,0.0,0.0
2,12,0.24,spawn,0.01224,0.01214,0.00159,0.01224,0.0078,10.1,64.54,0.3208,0.0111,-0.129,0.0,0.0,0,0.0,0.0
3,12,0.24,spawn,0.01219,0.01209,0.00155,0.01219,0.0078,10.1,64.54,0.3208,0.0111,-0.129,0.0,0.0,0,0.0,0.0
0,13,0.26,spawn,0.01143,0.01075,0.00389,0.01143,0.0084,10.17,68.94,0.3194,0.0121,-0.184,0.0,0.0,0,0.0,0.0
1,13,0.26,spawn,0.01141,0.01073,0.0039,0.01141,0.0084,10.17,68.94,0.3194,0.0121,-0.184,0.0,0.0,0,0.0,0.0
2,13,0.26,spawn,0.01141,0.01073,0.00389,0.01141,0.0084,10.17,68.94,0.3194,0.0121,-0.184,0.0,0.0,0,0.0,0.0
3,13,0.26,spawn,0.01136,0.01068,0.00389,0.01136,0.0084,10.17,68.94,0.3194,0.0121,-0.184,0.0,0.0,0,0.0,0.0
0,14,0.28,spawn,0.01001,0.00843,0.00539,0.01001,0.009,9.8,73.24,0.3184,0.013,-0.23,0.0,0.0,0,0.0,0.0
1,14,0.28,spawn,0.01009,0.0085,0.00543,0.01009,0.009,9.81,73.23,0.3184,0.013,-0.23,0.0,0.0,0,0.0,0.0
2,14,0.28,spawn,0.01008,0.0085,0.00542,0.01008,0.009,9.81,73.23,0.3184,0.013,-0.229,0.0,0.0,0,0.0,0.0
3,14,0.28,spawn,0.0101,0.00851,0.00544,0.0101,0.009,9.82,73.23,0.3184,0.013,-0.229,0.0,0.0,0,0.0,0.0
0,15,0.3,spawn,0.00837,0.00553,0.00628,0.00837,0.0096,9.25,77.31,0.3175,0.0139,-0.279,0.0,0.0,0,0.0,0.0
1,15,0.3,spawn,0.00847,0.00565,0.00632,0.00847,0.0096,9.28,77.29,0.3175,0.0139,-0.279,0.0,0.0,0,0.0,0.0
2,15,0.3,spawn,0.00847,0.00564,0.00631,0.00847,0.0096,9.28,77.29,0.3175,0.0139,-0.278,0.0,0.0,0,0.0,0.0
3,15,0.3,spawn,0.0085,0.00567,0.00632,0.00849,0.0096,9.29,77.28,0.3175,0.0139,-0.278,0.0,0.0,0,0.0,0.0
0,16,0.32,spawn,0.00907,0.0045,0.00787,0.00907,0.0102,8.85,80.42,0.3168,0.0147,-0.325,0.0,0.0,0,0.0,0.0
1,16,0.32,spawn,0.00913,0.00457,0.0079,0.00913,0.0102,8.87,80.41,0.3168,0.0147,-0.325,0.0,0.0,0,0.0,0.0
2,16,0.32,spawn,0.00912,0.00457,0.00789,0.00912,0.0102,8.87,80.41,0.3168,0.0147,-0.325,0.0,0.0,0,0.0,0.0
3,16,0.32,spawn,0.00915,0.00462,0.00789,0.00915,0.0102,8.87,80.4,0.3168,0.0147,-0.325,0.0,0.0,0,0.0,0.0
0,17,0.34,spawn,0.01032,0.0029,0.0099,0.01032,0.0108,8.14,81.78,0.3164,0.0155,-0.345,0.0,0.0,0,0.0,0.0
1,17,0.34,spawn,0.01037,0.00298,0.00993,0.01037,0.0108,8.14,81.77,0.3164,0.0155,-0.347,0.0,0.0,0,0.0,0.0
2,17,0.34,spawn,0.01036,0.00298,0.00992,0.01036,0.0108,8.14,81.77,0.3164,0.0155,-0.346,0.0,0.0,0,0.0,0.0
3,17,0.34,spawn,0.01037,0.00302,0.00992,0.01037,0.0108,8.14,81.78,0.3164,0.0155,-0.346,0.0,0.0,0,0.0,0.0
0,18,0.36,spawn,0.01243,0.00312,0.01203,0.01243,0.0114,7.51,80.39,0.3162,0.0164,-0.364,0.0,0.0,0,0.0,0.0
1,18,0.36,spawn,0.01243,0.00296,0.01207,0.01243,0.0114,7.51,80.4,0.3162,0.0164,-0.363,0.0,0.0,0,0.0,0.0
2,18,0.36,spawn,0.01242,0.00296,0.01206,0.01242,0.0114,7.51,80.39,0.3162,0.0164,-0.363,0.0,0.0,0,0.0,0.0
3,18,0.36,spawn,0.01243,0.00299,0.01206,0.01243,0.0114,7.5,80.4,0.3162,0.0164,-0.362,0.0,0.0,0,0.0,0.0
0,19,0.38,spawn,0.01451,0.00425,0.01387,0.01451,0.012,7.01,77.05,0.316,0.0172,-0.379,0.0,0.0,0,0.0,0.0
1,19,0.38,spawn,0.01462,0.00451,0.01391,0.01462,0.012,7.0,77.04,0.3161,0.0172,-0.382,0.0,0.0,0,0.0,0.0
2,19,0.38,spawn,0.01461,0.00448,0.0139,0.01461,0.012,7.0,77.05,0.3161,0.0172,-0.381,0.0,0.0,0,0.0,0.0
3,19,0.38,spawn,0.01464,0.00457,0.0139,0.01464,0.012,7.0,77.04,0.316,0.0172,-0.382,0.0,0.0,0,0.0,0.0
0,20,0.4,spawn,0.01633,0.00413,0.0158,0.01633,0.0126,6.32,73.14,0.3159,0.018,-0.371,0.0,0.0,0,0.0,0.0
1,20,0.4,spawn,0.01629,0.00395,0.01581,0.01629,0.0126,6.33,73.14,0.3159,0.018,-0.369,0.0,0.0,0,0.0,0.0
2,20,0.4,spawn,0.01629,0.00395,0.0158,0.01629,0.0126,6.33,73.14,0.3159,0.018,-0.369,0.0,0.0,0,0.0,0.0
3,20,0.4,spawn,0.0163,0.004,0.0158,0.0163,0.0126,6.33,73.14,0.3159,0.018,-0.369,0.0,0.0,0,0.0,0.0
0,21,0.42,spawn,0.01815,0.00302,0.01789,0.01815,0.0132,5.38,69.12,0.3159,0.0187,-0.333,0.0,0.0,0,0.0,0.0
1,21,0.42,spawn,0.01812,0.00279,0.0179,0.01812,0.0132,5.39,69.12,0.3159,0.0187,-0.331,0.0,0.0,0,0.0,0.0
2,21,0.42,spawn,0.01813,0.00286,0.0179,0.01813,0.0132,5.39,69.12,0.3159,0.0187,-0.332,0.0,0.0,0,0.0,0.0
3,21,0.42,spawn,0.01809,0.00267,0.01789,0.01809,0.0132,5.39,69.12,0.3159,0.0188,-0.33,0.0,0.0,0,0.0,0.0
0,22,0.44,spawn,0.02094,0.00675,0.01982,0.02094,0.0138,4.73,66.5,0.3158,0.0195,-0.316,0.0,0.0,0,0.0,0.0
1,22,0.44,spawn,0.021,0.00681,0.01986,0.021,0.0138,4.74,66.45,0.3158,0.0195,-0.318,0.0,0.0,0,0.0,0.0
2,22,0.44,spawn,0.02102,0.00684,0.01988,0.02102,0.0138,4.74,66.44,0.3158,0.0195,-0.318,0.0,0.0,0,0.0,0.0
3,22,0.44,spawn,0.02095,0.00675,0.01983,0.02095,0.0138,4.74,66.51,0.3158,0.0195,-0.318,0.0,0.0,0,0.0,0.0
0,23,0.46,spawn,0.0233,0.0098,0.02114,0.0233,0.0144,5.14,70.83,0.3157,0.0202,-0.276,0.0,0.0,0,0.0,0.0
1,23,0.46,spawn,0.02329,0.0096,0.02122,0.02329,0.0144,5.16,70.8,0.3157,0.0202,-0.274,0.0,0.0,0,0.0,0.0
2,23,0.46,spawn,0.02331,0.00963,0.02123,0.02331,0.0144,5.16,70.8,0.3157,0.0202,-0.274,0.0,0.0,0,0.0,0.0
3,23,0.46,spawn,0.02322,0.00946,0.0212,0.02322,0.0144,5.16,70.84,0.3157,0.0202,-0.273,0.0,0.0,0,0.0,0.0
0,24,0.48,spawn,0.0238,0.01203,0.02054,0.0238,0.015,4.63,75.8,0.3156,0.0209,-0.245,0.0,0.0,0,0.0,0.0
1,24,0.48,spawn,0.02392,0.01217,0.02059,0.02392,0.015,4.64,75.76,0.3156,0.0209,-0.246,0.0,0.0,0,0.0,0.0
2,24,0.48,spawn,0.02393,0.01218,0.0206,0.02393,0.015,4.64,75.76,0.3156,0.0209,-0.247,0.0,0.0,0,0.0,0.0
3,24,0.48,spawn,0.02387,0.01209,0.02058,0.02387,0.015,4.64,75.79,0.3156,0.0209,-0.245,0.0,0.0,0,0.0,0.0
0,25,0.5,spawn,0.02267,0.00987,0.0204,0.02267,0.0156,3.99,80.5,0.3157,0.0216,-0.175,0.0,0.0,0,0.0,0.0
1,25,0.5,spawn,0.02278,0.00991,0.02052,0.02278,0.0156,3.98,80.34,0.3157,0.0216,-0.176,0.0,0.0,0,0.0,0.0
2,25,0.5,spawn,0.02279,0.00992,0.02052,0.02279,0.0156,3.98,80.35,0.3157,0.0216,-0.177,0.0,0.0,0,0.0,0.0
3,25,0.5,spawn,0.02276,0.00984,0.02052,0.02276,0.0156,3.97,80.34,0.3157,0.0216,-0.175,0.0,0.0,0,0.0,0.0
0,26,0.52,spawn,0.02302,0.00801,0.02159,0.02302,0.0162,3.88,81.35,0.3156,0.0223,-0.129,0.0,0.0,0,0.0,0.0
1,26,0.52,spawn,0.02328,0.00816,0.0218,0.02328,0.0162,3.88,81.32,0.3156,0.0224,-0.133,0.0,0.0,0,0.0,0.0
2,26,0.52,spawn,0.02328,0.00816,0.02181,0.02328,0.0162,3.87,81.32,0.3156,0.0224,-0.133,0.0,0.0,0,0.0,0.0
3,26,0.52,spawn,0.02328,0.00813,0.02181,0.02328,0.0162,3.88,81.35,0.3156,0.0224,-0.132,0.0,0.0,0,0.0,0.0
0,27,0.54,spawn,0.02373,0.01143,0.0208,0.02373,0.0168,3.77,81.64,0.3156,0.023,-0.142,0.0,0.0,0,0.0,0.0
1,27,0.54,spawn,0.02401,0.01164,0.021,0.02401,0.0168,3.81,81.72,0.3156,0.0231,-0.147,0.0,0.0,0,0.0,0.0
2,27,0.54,spawn,0.02401,0.0116,0.02101,0.02401,0.0168,3.81,81.72,0.3156,0.0231,-0.147,0.0,0.0,0,0.0,0.0
3,27,0.54,spawn,0.02403,0.01165,0.02102,0.02403,0.0168,3.82,81.76,0.3156,0.0231,-0.147,0.0,0.0,0,0.0,0.0
0,28,0.56,spawn,0.02364,0.01102,0.02092,0.02364,0.0174,3.57,81.02,0.3156,0.0236,-0.11,0.0,0.0,0,0.0,0.0
1,28,0.56,spawn,0.02341,0.01052,0.02091,0.02341,0.0174,3.51,81.37,0.3155,0.0237,-0.108,0.0,0.0,0,0.0,0.0
2,28,0.56,spawn,0.02346,0.01054,0.02096,0.02346,0.0174,3.51,81.35,0.3156,0.0237,-0.108,0.0,0.0,0,0.0,0.0
3,28,0.56,spawn,0.02334,0.01047,0.02086,0.02334,0.0174,3.47,81.51,0.3155,0.0237,-0.107,0.0,0.0,0,0.0,0.0
0,29,0.58,spawn,0.02495,0.01336,0.02107,0.02495,0.018,2.73,81.43,0.3156,0.0242,-0.096,0.0,0.0,0,0.0,0.0
1,29,0.58,spawn,0.02528,0.01481,0.02048,0.02528,0.018,2.36,81.8,0.3156,0.0242,-0.113,0.0,0.0,0,0.0,0.0
2,29,0.58,spawn,0.02528,0.01469,0.02057,0.02528,0.018,2.39,81.78,0.3156,0.0243,-0.112,0.0,0.0,0,0.0,0.0
3,29,0.58,spawn,0.02519,0.01475,0.02042,0.02519,0.018,2.29,81.93,0.3156,0.0242,-0.111,0.0,0.0,0,0.0,0.0
0,30,0.6,spawn,0.02307,0.01043,0.02058,0.02307,0.0186,1.61,81.89,0.3158,0.0247,-0.033,0.0,0.0,0,0.0,0.0
1,30,0.6,spawn,0.02472,0.01339,0.02078,0.02472,0.0186,1.12,80.87,0.3158,0.0247,-0.065,0.0,0.0,0,0.0,0.0
2,30,0.6,spawn,0.02461,0.01312,0.02082,0.02461,0.0186,1.16,80.93,0.3158,0.0248,-0.063,0.0,0.0,0,0.0,0.0
3,30,0.6,spawn,0.02467,0.01345,0.02068,0.02467,0.0186,1.08,81.01,0.3158,0.0247,-0.063,0.0,0.0,0,0.0,0.0
0,31,0.62,spawn,0.02314,0.01185,0.01987,0.02314,0.0192,0.56,80.43,0.3159,0.0252,-0.01,0.0,0.0,0,0.0,0.0
1,31,0.62,spawn,0.02225,0.01007,0.01984,0.02225,0.0192,0.63,81.0,0.3158,0.0252,0.001,0.0,0.0,0,0.0,0.0
2,31,0.62,spawn,0.0222,0.00985,0.0199,0.0222,0.0192,0.67,81.1,0.3158,0.0252,0.002,0.0,0.0,0,0.0,0.0
3,31,0.62,spawn,0.02233,0.01029,0.01982,0.02233,0.0192,0.57,80.68,0.3158,0.0252,0.001,0.0,0.0,0,0.0,0.0
0,32,0.64,spawn,0.02297,0.01451,0.01781,0.02297,0.0198,-0.34,80.54,0.3159,0.0255,-0.006,0.0,0.0,0,0.0,0.0
1,32,0.64,spawn,0.02253,0.01384,0.01778,0.02253,0.0198,-0.41,80.03,0.3158,0.0255,-0.006,0.0,0.0,0,0.0,0.0
2,32,0.64,spawn,0.02261,0.01413,0.01766,0.02261,0.0198,-0.46,80.39,0.3158,0.0255,-0.005,0.0,0.0,0,0.0,0.0
3,32,0.64,spawn,0.02233,0.01388,0.0175,0.02233,0.0198,-0.4,80.38,0.3158,0.0255,-0.005,0.0,0.0,0,0.0,0.0
0,33,0.66,spawn,0.02137,0.01272,0.01717,0.02137,0.0204,-0.94,80.61,0.3158,0.0258,0.052,0.0,0.0,0,0.0,0.0
1,33,0.66,spawn,0.02117,0.01237,0.01718,0.02117,0.0204,-0.98,78.79,0.3158,0.0258,0.043,0.0,0.0,0,0.0,0.0
2,33,0.66,spawn,0.02142,0.01288,0.01712,0.02142,0.0204,-1.07,78.97,0.3158,0.0258,0.042,0.0,0.0,0,0.0,0.0
3,33,0.66,spawn,0.02131,0.01295,0.01693,0.02131,0.0204,-1.08,78.68,0.3158,0.0257,0.043,0.0,0.0,0,0.0,0.0
0,34,0.68,spawn,0.02268,0.01522,0.01682,0.02268,0.021,-2.05,78.61,0.3158,0.0261,0.089,0.0,0.0,0,0.0,0.0
1,34,0.68,spawn,0.02209,0.01465,0.01653,0.02209,0.021,-1.99,76.99,0.3157,0.026,0.078,0.0,0.0,0,0.0,0.0
2,34,0.68,spawn,0.0219,0.0144,0.0165,0.0219,0.021,-1.99,77.17,0.3157,0.0261,0.087,0.0,0.0,0,0.0,0.0
3,34,0.68,spawn,0.02205,0.01477,0.01637,0.02205,0.021,-2.04,76.82,0.3157,0.026,0.088,0.0,0.0,0,0.0,0.0
0,35,0.7,spawn,0.02351,0.01771,0.01546,0.02351,0.0216,-3.09,76.6,0.3158,0.0263,0.141,0.0,0.0,0,0.0,0.0
1,35,0.7,spawn,0.02218,0.01651,0.01482,0.02218,0.0216,-2.91,75.86,0.3157,0.0262,0.134,0.0,0.0,0,0.0,0.0
2,35,0.7,spawn,0.02243,0.01694,0.0147,0.02243,0.0216,-3.01,75.65,0.3157,0.0263,0.134,0.0,0.0,0,0.0,0.0
3,35,0.7,spawn,0.02268,0.0173,0.01467,0.02268,0.0216,-3.06,74.9,0.3156,0.0262,0.134,0.0,0.0,0,0.0,0.0
0,36,0.72,spawn,0.02444,0.02069,0.01301,0.02444,0.0222,-4.1,74.42,0.3157,0.0264,0.192,0.0,0.0,0,0.0,0.0
1,36,0.72,spawn,0.02255,0.01902,0.01212,0.02255,0.0222,-3.78,76.53,0.3155,0.0264,0.183,0.0,0.0,0,0.0,0.0
2,36,0.72,spawn,0.02284,0.01948,0.01193,0.02284,0.0222,-3.88,76.94,0.3155,0.0264,0.189,0.0,0.0,0,0.0,0.0
3,36,0.72,spawn,0.02305,0.01969,0.01198,0.02305,0.0222,-3.93,76.22,0.3155,0.0263,0.195,0.0,0.0,0,0.0,0.0
0,37,0.74,spawn,0.02688,0.02478,0.01041,0.02688,0.0228,-5.07,74.69,0.3156,0.0265,0.249,0.0,0.0,0,0.0,0.0
1,37,0.74,spawn,0.02512,0.02322,0.00958,0.02512,0.0228,-4.8,76.52,0.3153,0.0265,0.232,0.0,0.0,0,0.0,0.0
2,37,0.74,spawn,0.02549,0.02365,0.00952,0.02549,0.0228,-4.92,77.01,0.3153,0.0265,0.243,0.0,0.0,0,0.0,0.0
3,37,0.74,spawn,0.02556,0.02367,0.00963,0.02556,0.0228,-4.96,76.39,0.3153,0.0264,0.254,0.0,0.0,0,0.0,0.0
0,38,0.76,spawn,0.03169,0.0306,0.00823,0.03169,0.0234,-6.08,75.3,0.3154,0.0267,0.309,0.0,0.0,0,0.0,0.0
1,38,0.76,spawn,0.03061,0.02963,0.00768,0.03061,0.0234,-5.87,76.23,0.3151,0.0266,0.289,0.0,0.0,0,0.0,0.0
2,38,0.76,spawn,0.03081,0.02982,0.00776,0.03081,0.0234,-6.0,77.3,0.3151,0.0266,0.307,0.0,0.0,0,0.0,0.0
3,38,0.76,spawn,0.03063,0.02958,0.00794,0.03063,0.0234,-6.01,76.84,0.3151,0.0266,0.322,0.0,0.0,0,0.0,0.0
0,39,0.78,spawn,0.03739,0.03689,0.00609,0.03739,0.024,-6.95,75.76,0.3152,0.0268,0.377,0.0,0.0,0,0.0,0.0
1,39,0.78,spawn,0.03694,0.03651,0.0056,0.03694,0.024,-6.77,76.57,0.3148,0.0268,0.353,0.0,0.0,0,0.0,0.0
2,39,0.78,spawn,0.03665,0.03621,0.00569,0.03665,0.024,-6.88,78.07,0.3148,0.0267,0.38,0.0,0.0,0,0.0,0.0
3,39,0.78,spawn,0.03622,0.03574,0.00591,0.03622,0.024,-6.88,78.0,0.3148,0.0266,0.396,0.0,0.0,0,0.0,0.0
0,40,0.8,spawn,0.04256,0.04241,0.00354,0.04256,0.0246,-7.51,77.92,0.3149,0.0269,0.457,0.0,0.0,0,0.0,0.0
1,40,0.8,spawn,0.04215,0.04206,0.00271,0.04215,0.0246,-7.3,77.56,0.3145,0.0268,0.426,0.0,0.0,0,0.0,0.0
2,40,0.8,spawn,0.04164,0.04154,0.00293,0.04164,0.0246,-7.43,80.0,0.3145,0.0267,0.459,0.0,0.0,0,0.0,0.0
3,40,0.8,spawn,0.04108,0.04095,0.00322,0.04108,0.0246,-7.39,79.89,0.3145,0.0267,0.474,0.0,0.0,0,0.0,0.0
0,41,0.82,spawn,0.04713,0.04713,0.00068,0.04713,0.0252,-7.98,79.74,0.3146,0.0269,0.536,0.0,0.0,0,0.0,0.0
1,41,0.82,spawn,0.04662,0.04662,-0.00026,0.04662,0.0252,-7.84,78.12,0.3141,0.0268,0.502,0.0,0.0,0,0.0,0.0
2,41,0.82,spawn,0.04632,0.04632,0.00012,0.04632,0.0252,-7.92,81.39,0.3142,0.0267,0.533,0.0,0.0,0,0.0,0.0
3,41,0.82,spawn,0.04565,0.04564,0.00041,0.04565,0.0252,-7.89,81.16,0.3142,0.0267,0.546,0.0,0.0,0,0.0,0.0
0,42,0.84,spawn,0.05146,0.05141,-0.00217,0.05146,0.0258,-8.19,80.94,0.3143,0.0269,0.624,0.0,0.0,0,0.0,0.0
1,42,0.84,spawn,0.05158,0.05151,-0.00268,0.05158,0.0258,-8.35,79.99,0.3138,0.0268,0.593,0.0,0.0,0,0.0,0.0
2,42,0.84,spawn,0.05155,0.0515,-0.00226,0.05155,0.0258,-8.33,81.67,0.3139,0.0267,0.612,0.0,0.0,0,0.0,0.0
3,42,0.84,spawn,0.05083,0.05079,-0.00198,0.05083,0.0258,-8.31,81.61,0.3139,0.0266,0.622,0.0,0.0,0,0.0,0.0
0,43,0.86,spawn,0.05567,0.05545,-0.00494,0.05567,0.0264,-8.31,81.67,0.3139,0.0269,0.717,0.0,0.0,0,0.0,0.0
1,43,0.86,spawn,0.05614,0.0559,-0.00518,0.05614,0.0264,-8.54,81.28,0.3134,0.0268,0.698,0.0,0.0,0,0.0,0.0
2,43,0.86,spawn,0.05665,0.05646,-0.00462,0.05665,0.0264,-8.54,80.85,0.3135,0.0266,0.695,0.0,0.0,0,0.0,0.0
3,43,0.86,spawn,0.05594,0.05577,-0.00437,0.05594,0.0264,-8.54,81.17,0.3135,0.0266,0.703,0.0,0.0,0,0.0,0.0
0,44,0.88,spawn,0.05978,0.05932,-0.00741,0.05978,0.027,-8.53,81.03,0.3136,0.0268,0.805,0.0,0.0,0,0.0,0.0
