step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
4000,1789983312.071,-0.003714896,-0.004658802,0.03599999,-0.0003739784,-4.281533e-05,0,-0.001342357,-0.0003490177,0,-0.001204625,-5.200211e-05,-0.00123,-4.861653e-05,0.04215001,-0.0003632357,-0.001345495,0,-0.0007813009,-0.0005890804,-0.0006639556,0.01960722,0,-0.000122606,-0.000114057,0.02024187,0.04310548,0.04517438,8.914762e-05,1e-05,14.46517,9.499994e-05,1.544943e-07,2.436301e-07,5.454195e-06,0.06251288,1,0,1e-05,0.001101773,0.02999128,1.002468,1.525578,38885,0.5529373,13.09,2.065348
4001,1789983314.536,-0.006869176,-0.009472514,0.07199996,-0.00085084,-8.741338e-05,0,-0.002049587,-0.0007157197,0,-0.002178082,-9.970942e-05,-0.001075,-0.0001010535,0.08348748,-0.0007849878,-0.001177802,0,-0.001702349,-0.001296648,-0.0009928703,0.03845095,0.010865,-0.0002640659,-0.0001627446,0.03995242,0.08397689,0.08607583,7.667363e-05,1e-05,14.46509,8.126725e-05,2.024285e-07,1.854468e-07,4.20574e-06,0.08214504,1,0,1e-05,0.00745439,0.02510957,0.8873565,1.540352,40492,0.5529393,38.09,6.046144
4002,1789983317.012,-0.01048142,-0.0141611,0.1079999,-0.001412017,-6.846294e-05,0,-0.004399253,-0.0008646792,0,-0.004423322,-0.000144903,-0.00276,-0.000129349,0.1270999,-0.001331919,-0.003906046,0,-0.003067927,-0.001361185,-0.001319799,0.05741039,0,-0.0003898939,-0.0003117018,0.05906879,0.1211275,0.134811,7.364355e-05,1e-05,14.46496,7.705748e-05,5.38253e-08,8.056531e-08,3.279531e-06,0.07163434,1,0,1e-05,0.00184456,0.03334099,0.910255,1.559818,39798,0.5529383,60,9.651747
4003,1789983319.496,-0.01274693,-0.01860862,0.1439999,-0.001316917,-0.0001041272,0,-0.003692744,-0.001178448,0,-0.003478656,-0.0002011499,-0.00188,-8.37668e-05,0.1770499,-0.001372403,-0.002123607,0,-0.003067901,-0.002773119,-0.001055078,0.07682007,0.02166415,-0.0005227794,-0.0002768358,0.07930156,0.1685804,0.1818741,6.766762e-05,1e-05,14.46523,7.197093e-05,9.642986e-08,6.935057e-08,4.137522e-06,0.06899589,1,0,1e-05,0.001675886,0.03195224,0.9127126,1.564475,39683,0.5529563,85.43,13.78992
4004,1789983321.977,-0.0168661,-0.02302819,0.1799999,-0.001900497,-0.0001039655,0,-0.007230158,-0.001418636,0,-0.006854701,-0.0002525946,-0.004028572,-0.0001104742,0.2214284,-0.001807102,-0.004940739,-0.0002070349,-0.004930409,-0.003764457,-0.003247135,0.09434019,0.007691419,-0.0006618581,-0.0004680065,0.09975462,0.2072876,0.2257284,6.77322e-05,1e-05,14.46527,7.185986e-05,8.765858e-08,6.322013e-08,3.976781e-06,0.072754,1,0,1e-05,4.609771e-05,0.0306369,0.9159808,1.558262,39730,0.552931,110.36,17.52004
4005,1789983324.449,-0.01934777,-0.02787859,0.2159999,-0.002430826,-0.0001234538,0,-0.006060441,-0.001834529,-6.107857e-05,-0.005870495,-0.0003009743,-0.002803333,-0.0001380658,0.2641665,-0.002217709,-0.003339871,-4.6248e-06,-0.004846783,-0.003441837,-0.00247292,0.1151125,0.03259679,-0.0007960862,-0.0004357058,0.1191675,0.2478518,0.2717007,6.230875e-05,1e-05,14.46454,6.586097e-05,3.552057e-08,4.337317e-08,3.473326e-06,0.06339491,1,0,1e-05,0.004819038,0.01979208,0.9146948,1.550483,39877,0.5529129,131.68,21.23021
4006,1789983326.934,-0.0227448,-0.03205861,0.2520002,-0.002640096,-0.000194165,0,-0.007024538,-0.002195341,-0.0001217894,-0.006498536,-0.0003489251,-0.0028,-0.0001116327,0.3112997,-0.002329182,-0.00373461,0,-0.005547815,-0.004909215,-0.002204712,0.1331984,0.03777673,-0.0009053617,-0.0004822413,0.1407731,0.2913525,0.3210454,6.56206e-05,1e-05,14.46394,7.040995e-05,3.95277e-08,4.201468e-08,4.707804e-06,0.07230628,1,0,1e-05,0.001670338,0.02264195,0.9180765,1.559918,39670,0.5528861,156.39,25.10485
4007,1789983329.433,-0.02690228,-0.03847615,0.2880004,-0.00342793,-0.0001740824,-0.001,-0.01148293,-0.002406572,-0.0002039657,-0.01086984,-0.000403589,-0.005832001,-0.0001363008,0.3531897,-0.002847369,-0.007402094,-2.80657e-05,-0.007989912,-0.007137499,-0.005048141,0.1508782,0.01732199,-0.001061909,-0.0007430307,0.1579672,0.3198881,0.3608716,6.936935e-05,1e-05,14.46312,7.53678e-05,4.7343e-08,5.356263e-08,5.897553e-06,0.08278771,1,0,1e-05,0.0009402999,0.02157798,0.9344451,1.558589,39431,0.552864,181.46,29.01717
4008,1789983331.947,-0.03123569,-0.04279001,0.3240007,-0.004283508,-0.000208778,0,-0.01249982,-0.002663986,-0.003076071,-0.01307531,-0.0004467912,-0.00578,-0.0002699355,0.3949497,-0.00363559,-0.006694329,-0.0003681888,-0.008725403,-0.009034989,-0.004749062,0.1681432,0.0324678,-0.00120235,-0.0007734987,0.1758185,0.3598073,0.4016752,6.693096e-05,1e-05,14.46229,7.577588e-05,5.432285e-08,5.69571e-08,8.733648e-06,0.07335788,1,0,1e-05,8.803287e-05,0.02127892,0.9403086,1.567444,39200,0.5528324,204.61,32.79099
4009,1789983334.463,-0.03380663,-0.04967005,0.3600009,-0.004669337,-0.0002137327,0,-0.01610972,-0.002898945,-0.0008393422,-0.01666543,-0.0004977614,-0.009130001,-0.000532058,0.4471747,-0.004762919,-0.01327474,-0.0004796164,-0.01207263,-0.01224948,-0.009274812,0.1840609,0,-0.001343777,-0.001066864,0.1902022,0.3781971,0.4515056,6.604403e-05,1e-05,14.46118,8.019211e-05,5.149264e-08,6.238348e-08,1.40342e-05,0.07930181,1,0,1e-05,0.002677412,0.02148326,0.9491761,1.56092,39163,0.5528017,228.43,36.50811
